                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    114,                 1.1085,                 1.0873,                 1.6397,                 0.7901,                0.75758,                0.86173,                 0.5929,                 1.1668,                0.98863,                 1.9367,              0.0015525,              0.0015525,              0.0015525
                    115,                 1.1266,                 1.1087,                 1.6352,                0.67996,                0.75758,                0.71634,                0.45741,                 1.2022,                 1.2346,                 1.9513,              0.0015486,              0.0015486,              0.0015486
                    116,                 1.1495,                  1.116,                 1.6607,                0.74608,                0.69697,                0.78977,                 0.5556,                 1.1078,                 1.1326,                 1.8227,              0.0015446,              0.0015446,              0.0015446
                    117,                 1.1185,                 1.1227,                 1.6352,                0.64671,                0.75758,                0.76301,                0.54302,                 1.1135,                 1.1307,                 1.8536,              0.0015406,              0.0015406,              0.0015406
                    118,                  1.143,                   1.11,                 1.6818,                 0.6142,                0.69697,                0.68586,                0.43677,                 1.2391,                 1.2948,                  1.979,              0.0015367,              0.0015367,              0.0015367
                    119,                 1.1146,                 1.1218,                 1.6291,                0.86166,                0.75505,                0.78691,                0.54081,                 1.1556,                 1.1651,                 1.8297,              0.0015327,              0.0015327,              0.0015327
                    120,                 1.1415,                 1.1251,                 1.6614,                0.59092,                0.69697,                 0.6402,                0.37548,                 1.2163,                 1.5252,                 1.9261,              0.0015288,              0.0015288,              0.0015288
                    121,                 1.1501,                 1.1139,                 1.6576,                0.85061,                0.69036,                0.80923,                0.53637,                  1.136,                 1.1451,                 1.8532,              0.0015248,              0.0015248,              0.0015248
                    122,                   1.09,                 1.0992,                 1.6154,                0.62119,                0.89461,                0.74256,                0.49762,                 1.1689,                 1.1876,                 1.8901,              0.0015208,              0.0015208,              0.0015208
                    123,                 1.0916,                 1.0828,                 1.6207,                0.63544,                0.63636,                 0.5962,                0.41452,                 1.0712,                 1.2708,                 1.7649,              0.0015169,              0.0015169,              0.0015169
                    124,                 1.1153,                 1.0997,                 1.6458,                0.86999,                0.69697,                0.81258,                0.59734,                 1.1713,                0.96808,                 1.9212,              0.0015129,              0.0015129,              0.0015129
                    125,                 1.0842,                 1.0777,                 1.6021,                0.75995,                0.86362,                0.81365,                0.56017,                 1.1407,                 1.0888,                 1.8706,               0.001509,               0.001509,               0.001509
                    126,                 1.0851,                 1.0651,                  1.586,                0.76363,                0.78788,                 0.7979,                0.52266,                 1.2025,                  1.116,                 1.8614,               0.001505,               0.001505,               0.001505
                    127,                 1.0965,                 1.0794,                 1.6134,                0.75562,                0.84848,                0.80103,                0.53767,                 1.0519,                 1.2848,                 1.7958,               0.001501,               0.001501,               0.001501
                    128,                 1.1236,                 1.1325,                   1.65,                0.77406,                0.78788,                0.78697,                0.52637,                 1.3312,                 1.3081,                 2.0356,              0.0014971,              0.0014971,              0.0014971
                    129,                 1.1075,                 1.0303,                 1.6447,                0.61418,                0.72367,                0.69908,                0.41441,                 1.4279,                 1.3729,                 2.1637,              0.0014931,              0.0014931,              0.0014931
                    130,                 1.0874,                 1.0466,                 1.6132,                0.72074,                0.69697,                0.71901,                0.48551,                 1.1978,                 1.1825,                 1.8734,              0.0014892,              0.0014892,              0.0014892
                    131,                 1.0789,                 1.0827,                 1.6112,                0.56394,                0.75758,                0.68853,                0.45178,                 1.3516,                 1.3351,                 2.1529,              0.0014852,              0.0014852,              0.0014852
                    132,                 1.1216,                 1.1165,                 1.6292,                 0.5902,                0.82936,                0.71826,                0.47856,                 1.3076,                 1.1571,                 2.0247,              0.0014812,              0.0014812,              0.0014812
                    133,                 1.0826,                 1.0693,                 1.6064,                0.54328,                0.66667,                0.65963,                0.46534,                 1.1463,                 1.1989,                  1.841,              0.0014773,              0.0014773,              0.0014773
                    134,                 1.1408,                 1.0882,                 1.6666,                0.60827,                0.84848,                0.79391,                0.57675,                  1.101,                 1.0652,                 1.7678,              0.0014733,              0.0014733,              0.0014733
                    135,                 1.0933,                 1.0817,                 1.6085,                0.77805,                0.81818,                0.84707,                0.60641,                 1.0702,                 1.0409,                 1.7986,              0.0014694,              0.0014694,              0.0014694
                    136,                 1.0893,                 1.0707,                  1.611,                0.85405,                0.75758,                0.82072,                0.54329,                 1.2486,                 1.2148,                 1.9542,              0.0014654,              0.0014654,              0.0014654
                    137,                 1.0514,                 1.0224,                  1.586,                0.79128,                0.78788,                0.79417,                0.53532,                 1.1969,                 1.0943,                  1.847,              0.0014614,              0.0014614,              0.0014614
                    138,                 1.0317,                0.99867,                 1.5642,                0.84881,                0.72727,                0.81611,                0.60931,                 1.1179,                0.98477,                 1.8911,              0.0014575,              0.0014575,              0.0014575
                    139,                 1.0419,                 1.0314,                 1.5705,                0.89724,                0.69697,                0.83177,                0.54654,                 1.2357,                 1.0936,                 1.9928,              0.0014535,              0.0014535,              0.0014535
                    140,                 1.0827,                 1.0406,                 1.6099,                0.64158,                0.70533,                0.71905,                  0.501,                 1.1697,                 1.2749,                 1.8352,              0.0014496,              0.0014496,              0.0014496
                    141,                 1.0558,                 1.0512,                 1.5991,                0.77271,                0.75758,                0.80073,                0.51567,                 1.2201,                 1.2087,                 1.8999,              0.0014456,              0.0014456,              0.0014456
